Reference number,Company Payment Type,Delivering City,Shipment Details,Cash on Delivery,Exp Delivery Fees,Shipment Status,Creation Date,Perfume_Count
3031F,Pay After Delivery,Irbid,بلاك افغانو١٠٠/توم فورد امير ليذر١٠٠/ديور هوم انتنسن نسخة ٢٠١١ ,40,1٫75,No,4/1/2024 4:53:53 AM,3
3032F,Pay After Delivery,Amman,جنتل مان جفنشي ١٠٠,17,1٫75,yes,4/1/2024 4:53:53 AM,1
3033F,Pay After Delivery,Amman,انفكتوس٥٠/ سبلاندد٥٠/واي اف سان لوران ٥٠,20,1٫75,yes,4/1/2024 4:53:53 AM,3
3034F,Pay After Delivery,Amman,هوجو بوس١٠٠ عدد ٢,25,1٫75,yes,4/1/2024 4:53:53 AM,2
3035F,Pay After Delivery,Amman,شانيل نمبر فايف١٠٠/فرزاتشي ايروس ١٠٠/فراري ١٠٠/ بلو شانيل ١٠٠/جمتل مان جفنشي ١٠٠,60,1٫5,No,4/1/2024 4:53:53 AM,5
3036F,Pay After Delivery,Madaba,بلاك افغانو ١٠٠/امبر نوماد ١٠٠,27,2٫75,yes,4/1/2024 4:53:53 AM,2
3037F,Pay After Delivery,Irbid,دولتشي ذا ون ١٠٠,17,2٫75,yes,4/1/2024 4:53:53 AM,1
3038F,Pay After Delivery,Amman,واي اف سان لوران ١٠٠/هوس١٠٠/اكوا جيو ١٠٠/هوجو بوس١٠٠,48,1٫75,yes,4/1/2024 4:53:53 AM,4
3039F,Pay After Delivery,Amman,اكوا دي جيو ستاتي ١٠٠,17,1٫5,No,4/1/2024 4:53:53 AM,1
30310F,Pay After Delivery,Irbid,ليبر ١٠٠/ /بلاك اوبيوم ١٠٠,0,2٫75,yes,4/1/2024 4:53:53 AM,2
30311F,Pay After Delivery,Amman,خمرة ٥٠,10,1٫75,yes,4/1/2024 4:53:53 AM,1
30312F,Pay After Delivery,Amman,باي جفنشي ,10,0,No,4/1/2024 4:53:53 AM,1
30313F,Pay After Delivery,Amman,انيشو١٠٠,0,1٫5,No,4/1/2024 4:53:53 AM,1
30315F,Pay After Delivery,Madaba,كريد افنتوس ١٠٠,17,2٫75,yes,4/1/2024 4:53:53 AM,1
30316F,Pay After Delivery,Mafraq,نيشان  اني ١٠٠/ليبر١٠٠,27,1٫75,No,4/1/2024 4:53:53 AM,2
